"#NITRaipurES18

Follow:
E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.988281}"
Happy Birthday!!,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.996094}"
"Knock knock..
Great knock, who's there?
.
.
Shane watson
#iplfinal #csk","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.951172}"
"How engineering students decide to take bath??

'Na-ha-naah'","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.96875}"
#NITRaipurES18,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.998047}"
"Just a bunch of some old guys showing how it's done...
#CSK","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.552734}"
"My Philosophical Friend: Do we matter at all?

 Me: Can we achieve the speed of light? Then no.","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.939453}"
Happy Birthday,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.984375}"
Happy birthday bhaia..,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.984375}"
"Some students in my college are so stoned, they can be placed in Kashmir.","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.986328}"
Happy birthday!!!,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.996094}"
Happy birthday..,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.996094}"
"#NITRaipurES18

E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.982422}"
Happy Birthday..,"{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.996094}"
"ICC: There's so many issues in international cricket right now. What to do?

Srinivasan: Let's 'fix' it..","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.980469}"
"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
""Stand out of the crowd""

Fortify your troops as you set out to escalate E-Summit'18 to new heights of the apogee..

Join E-Summit18 as a CAMPUS AMBASSADOR!

Fill out the forms at : http://bit.ly/ESUMMIT18CA

You can also grab this golden opportunity by filling out the forms through INTERNSHALA.

Tag your friends from other colleges all around India.

Last date for form submission: 01 July, 2018

#NITRaipurES18
#ca #campusambassador
#ecell #nitrr","{'code': 200, 'sentence_type': 'Non Abusive', 'confidence_score': 0.828125}"
Happy Birthday..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.996094, 'code': 200}"
Happy birthday bhai..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.984375, 'code': 200}"
"Calling SUNIL CHHETRI for ipl auctions,
Because KXIP is literally buying everything..","{'sentence_type': 'Non Abusive', 'confidence_score': 0.863281, 'code': 200}"
"Your whole life is a lie.
Lazy people: Exactly!!","{'sentence_type': 'Abusive', 'confidence_score': 0.830078, 'code': 200}"
"Why didn't hitler listen to anybody?

Usne apne kaano pe 'Jew' nahi rengne diye.","{'sentence_type': 'Non Abusive', 'confidence_score': 0.949219, 'code': 200}"
Happy birthday ...,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.966797, 'code': 200}"
Happy  birthday  Surya!!,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.984375, 'code': 200}"
"Newton is out of Oscars.
What should be our equal and opposite reaction?
#Newton_laws ðð","{'sentence_type': 'Non Abusive', 'confidence_score': 0.974609, 'code': 200}"
Happy  birthday!!,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.996094, 'code': 200}"
I thought of a joke on engineering but it was too 'mainstream'.,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.945313, 'code': 200}"
"Batsman hits four.
Akash Chopra: à¤à¤µà¥ à¤à¤¾ à¤à¤¸ à¤¶à¥à¤ à¤¸à¥ à¤¯à¥ à¤¤à¤¾à¤¤à¥à¤ªà¤°à¥à¤¯ à¤¹à¥..","{'sentence_type': 'Non Abusive', 'confidence_score': 0.994141, 'code': 200}"
Happy birthday..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.996094, 'code': 200}"
"girlfriend: talk dirty to me, but keep it short.
Programmer: byte me.","{'sentence_type': 'Non Abusive', 'confidence_score': 0.972656, 'code': 200}"
"Walter White(Breaking Bad) would have made the perfect GATE candidate,
because he is the one who knocks...","{'sentence_type': 'Non Abusive', 'confidence_score': 0.916016, 'code': 200}"
Happy Birthday!!,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.996094, 'code': 200}"
"I had an argument with my mom..
I said: mah life
Mom said: Maa rulz..","{'sentence_type': 'Non Abusive', 'confidence_score': 0.648437, 'code': 200}"
Happy Birthday Pratik Bhaia..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.984375, 'code': 200}"
"You can't be jailed for your grammatical errors , you would not end your sentence properly.","{'sentence_type': 'Abusive', 'confidence_score': 0.865234, 'code': 200}"
Happy birthday sir..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.984375, 'code': 200}"
"""Know from the experts of your field""
#ELS2K18","{'sentence_type': 'Non Abusive', 'confidence_score': 0.826172, 'code': 200}"
Happy birthday Mayank ..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.962891, 'code': 200}"
Happy birthday bhaia..,"{'sentence_type': 'Non Abusive', 'confidence_score': 0.984375, 'code': 200}"
