"#NITRaipurES18

E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'keywords': [{'confidence_score': 0.656096, 'keyword': 'Raipur ECell'}], 'code': 200}"
"#NITRaipurES18

Follow:
E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'keywords': [{'confidence_score': 0.693941, 'keyword': 'ESummit'}, {'confidence_score': 0.647938, 'keyword': 'Raipur ECell'}]}"
"Knock knock..
Great knock, who's there?
.
.
Shane watson
#iplfinal #csk","{'keywords': [{'confidence_score': 0.603786, 'keyword': 'Knock'}, {'confidence_score': 0.906179, 'keyword': 'Great'}, {'confidence_score': 0.669002, 'keyword': 'Shane watson iplfinal csk'}], 'code': 200}"
"How engineering students decide to take bath??

'Na-ha-naah'","{'code': 200, 'keywords': [{'confidence_score': 0.896559, 'keyword': 'engineering students'}, {'confidence_score': 0.793148, 'keyword': 'bath Nahanaah'}]}"
Happy birthday!!!,"{'keywords': {'confidence_score': '0', 'keywords': []}, 'code': 200}"
Happy Birthday..,"{'keywords': {'confidence_score': '0', 'keywords': []}, 'code': 200}"
"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
""Stand out of the crowd""

Fortify your troops as you set out to escalate E-Summit'18 to new heights of the apogee..

Join E-Summit18 as a CAMPUS AMBASSADOR!

Fill out the forms at : http://bit.ly/ESUMMIT18CA

You can also grab this golden opportunity by filling out the forms through INTERNSHALA.

Tag your friends from other colleges all around India.

Last date for form submission: 01 July, 2018

#NITRaipurES18
#ca #campusambassador
#ecell #nitrr","{'keywords': [{'confidence_score': 0.758323, 'keyword': 'anchor'}, {'confidence_score': 0.861782, 'keyword': 'glory'}, {'confidence_score': 0.859819, 'keyword': 'superhero'}], 'code': 200}"
Happy birthday bhaia..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
#NITRaipurES18,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
Happy Birthday,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"My Philosophical Friend: Do we matter at all?

 Me: Can we achieve the speed of light? Then no.","{'keywords': [{'confidence_score': 0.947686, 'keyword': 'Philosophical'}, {'confidence_score': 0.796504, 'keyword': 'speed'}, {'confidence_score': 0.951689, 'keyword': 'light'}], 'code': 200}"
Happy birthday..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"Just a bunch of some old guys showing how it's done...
#CSK","{'code': 200, 'keywords': [{'confidence_score': 0.890759, 'keyword': 'bunch'}, {'confidence_score': 0.976321, 'keyword': 'old guys'}, {'confidence_score': 0.798495, 'keyword': 'CSK'}]}"
"Some students in my college are so stoned, they can be placed in Kashmir.","{'keywords': [{'confidence_score': 0.916314, 'keyword': 'students'}, {'confidence_score': 0.961607, 'keyword': 'college'}, {'confidence_score': 0.765798, 'keyword': 'Kashmir'}], 'code': 200}"
Happy Birthday!!,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
