"Just a bunch of some old guys showing how it's done...
#CSK","{'code': 200, 'keywords': [{'keyword': 'old guys', 'relevance_score': 2}]}"
"ICC: There's so many issues in international cricket right now. What to do?

Srinivasan: Let's 'fix' it..","{'code': 200, 'keywords': [{'keyword': 'ICC', 'relevance_score': 1}, {'keyword': 'Srinivasan', 'relevance_score': 1}, {'keyword': 'international cricket', 'relevance_score': 2}, {'keyword': 'so many', 'relevance_score': 2}]}"
"Knock knock..
Great knock, who's there?
.
.
Shane watson
#iplfinal #csk","{'code': 200, 'keywords': [{'keyword': 'Shane watson', 'relevance_score': 2}, {'keyword': 'iplfinal #', 'relevance_score': 2}, {'keyword': 'Knock', 'relevance_score': 1}, {'keyword': 'Great knock', 'relevance_score': 2}]}"
Happy birthday..,"{'code': 200, 'keywords': [{'keyword': 'Happy birthday', 'relevance_score': 2}]}"
Happy birthday!!!,"{'code': 200, 'keywords': [{'keyword': 'Happy birthday', 'relevance_score': 2}]}"
"How engineering students decide to take bath??

'Na-ha-naah'","{'code': 200, 'keywords': [{'keyword': 'engineering students', 'relevance_score': 2}, {'keyword': 'Na', 'relevance_score': 1}, {'keyword': 'ha', 'relevance_score': 1}]}"
"Some students in my college are so stoned, they can be placed in Kashmir.","{'code': 200, 'keywords': [{'keyword': 'Kashmir', 'relevance_score': 1}]}"
"#NITRaipurES18

Follow:
E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'keywords': [{'keyword': 'E', 'relevance_score': 1}, {'keyword': 'Follow', 'relevance_score': 1}, {'keyword': 'NIT Raipur', 'relevance_score': 2}, {'keyword': 'Summit', 'relevance_score': 1}, {'keyword': 'Cell', 'relevance_score': 1}]}"
"My Philosophical Friend: Do we matter at all?

 Me: Can we achieve the speed of light? Then no.","{'code': 200, 'keywords': [{'keyword': 'Philosophical Friend', 'relevance_score': 2}]}"
"#NITRaipurES18

E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'keywords': [{'keyword': 'E', 'relevance_score': 1}, {'keyword': 'Cell', 'relevance_score': 1}, {'keyword': 'NIT Raipur', 'relevance_score': 2}, {'keyword': 'Summit', 'relevance_score': 1}]}"
Happy Birthday..,"{'code': 200, 'keywords': [{'keyword': 'Happy Birthday', 'relevance_score': 2}]}"
"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
""Stand out of the crowd""

Fortify your troops as you set out to escalate E-Summit'18 to new heights of the apogee..

Join E-Summit18 as a CAMPUS AMBASSADOR!

Fill out the forms at : http://bit.ly/ESUMMIT18CA

You can also grab this golden opportunity by filling out the forms through INTERNSHALA.

Tag your friends from other colleges all around India.

Last date for form submission: 01 July, 2018

#NITRaipurES18
#ca #campusambassador
#ecell #nitrr","{'code': 200, 'keywords': [{'keyword': 'Last date', 'relevance_score': 2}, {'keyword': 'form submission', 'relevance_score': 2}, {'keyword': 'golden opportunity', 'relevance_score': 2}, {'keyword': 'Tag friends', 'relevance_score': 2}, {'keyword': 'July', 'relevance_score': 1}, {'keyword': 'Fortify troops', 'relevance_score': 2}, {'keyword': 'Summit18', 'relevance_score': 1}, {'keyword': 'new heights', 'relevance_score': 2}, {'keyword': 'CAMPUS AMBASSADOR', 'relevance_score': 2}, {'keyword': 'Join E', 'relevance_score': 2}, {'keyword': '#', 'relevance_score': 1}, {'keyword': 'ecell # nitrr', 'relevance_score': 3}, {'keyword': 'NITRaipurES18', 'relevance_score': 1}, {'keyword': 'other colleges', 'relevance_score': 2}, {'keyword': 'India', 'relevance_score': 1}]}"
Happy birthday bhaia..,"{'code': 200, 'keywords': [{'keyword': 'Happy birthday bhaia', 'relevance_score': 3}]}"
#NITRaipurES18,"{'code': 200, 'keywords': []}"
Happy Birthday!!,"{'code': 200, 'keywords': [{'keyword': 'Happy Birthday', 'relevance_score': 2}]}"
Happy Birthday,"{'code': 200, 'keywords': [{'keyword': 'Happy Birthday', 'relevance_score': 2}]}"
"You can't be jailed for your grammatical errors , you would not end your sentence properly.","{'keywords': [{'relevance_score': 2, 'keyword': 'grammatical errors'}], 'code': 200}"
I thought of a joke on engineering but it was too 'mainstream'.,"{'keywords': [], 'code': 200}"
"girlfriend: talk dirty to me, but keep it short.
Programmer: byte me.","{'keywords': [], 'code': 200}"
"Walter White(Breaking Bad) would have made the perfect GATE candidate,
because he is the one who knocks...","{'keywords': [{'relevance_score': 1, 'keyword': 'Walter'}, {'relevance_score': 1, 'keyword': 'Bad'}, {'relevance_score': 2, 'keyword': 'GATE candidate'}], 'code': 200}"
Happy Birthday!!,"{'keywords': [{'relevance_score': 2, 'keyword': 'Happy Birthday'}], 'code': 200}"
Happy  birthday!!,"{'keywords': [], 'code': 200}"
"I had an argument with my mom..
I said: mah life
Mom said: Maa rulz..","{'keywords': [{'relevance_score': 1, 'keyword': 'Mom'}, {'relevance_score': 1, 'keyword': 'Maa'}, {'relevance_score': 2, 'keyword': 'mah life'}], 'code': 200}"
Happy birthday Mayank ..,"{'keywords': [{'relevance_score': 1, 'keyword': 'Mayank'}, {'relevance_score': 2, 'keyword': 'Happy birthday'}], 'code': 200}"
Happy birthday bhai..,"{'keywords': [{'relevance_score': 3, 'keyword': 'Happy birthday bhai'}], 'code': 200}"
Happy birthday bhaia..,"{'keywords': [{'relevance_score': 3, 'keyword': 'Happy birthday bhaia'}], 'code': 200}"
"Why didn't hitler listen to anybody?

Usne apne kaano pe 'Jew' nahi rengne diye.","{'keywords': [{'relevance_score': 1, 'keyword': 'Jew'}, {'relevance_score': 2, 'keyword': 'Usne apne'}, {'relevance_score': 2, 'keyword': 'nahi rengne'}, {'relevance_score': 1, 'keyword': 'pe'}], 'code': 200}"
"Calling SUNIL CHHETRI for ipl auctions,
Because KXIP is literally buying everything..","{'keywords': [{'relevance_score': 2, 'keyword': 'ipl auctions'}, {'relevance_score': 2, 'keyword': 'SUNIL CHHETRI'}, {'relevance_score': 1, 'keyword': 'KXIP'}], 'code': 200}"
Happy birthday..,"{'keywords': [{'relevance_score': 2, 'keyword': 'Happy birthday'}], 'code': 200}"
"Newton is out of Oscars.
What should be our equal and opposite reaction?
#Newton_laws ðð","{'keywords': [{'relevance_score': 2, 'keyword': 'opposite reaction'}, {'relevance_score': 1, 'keyword': 'Oscars'}, {'relevance_score': 1, 'keyword': 'Newton'}], 'code': 200}"
Happy birthday ...,"{'keywords': [{'relevance_score': 2, 'keyword': 'Happy birthday'}], 'code': 200}"
Happy  birthday  Surya!!,"{'keywords': [{'relevance_score': 1, 'keyword': 'Surya'}], 'code': 200}"
"Batsman hits four.
Akash Chopra: à¤à¤µà¥ à¤à¤¾ à¤à¤¸ à¤¶à¥à¤ à¤¸à¥ à¤¯à¥ à¤¤à¤¾à¤¤à¥à¤ªà¤°à¥à¤¯ à¤¹à¥..","{'keywords': [{'relevance_score': 2, 'keyword': 'à¤\x95à¤µà¥\x80 à¤\x95à¤¾'}, {'relevance_score': 2, 'keyword': 'à¥\x8dà¤¯ à¤¹à¥\x88'}, {'relevance_score': 2, 'keyword': 'Akash Chopra'}], 'code': 200}"
Happy Birthday..,"{'keywords': [{'relevance_score': 2, 'keyword': 'Happy Birthday'}], 'code': 200}"
Happy birthday sir..,"{'keywords': [{'relevance_score': 3, 'keyword': 'Happy birthday sir'}], 'code': 200}"
"Your whole life is a lie.
Lazy people: Exactly!!","{'keywords': [{'relevance_score': 2, 'keyword': 'whole life'}, {'relevance_score': 2, 'keyword': 'Lazy people'}], 'code': 200}"
"""Know from the experts of your field""
#ELS2K18","{'keywords': [], 'code': 200}"
Happy Birthday Pratik Bhaia..,"{'keywords': [{'relevance_score': 3, 'keyword': 'Birthday Pratik Bhaia'}], 'code': 200}"
