"#NITRaipurES18

Follow:
E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'taxonomy': [{'tag': 'sports/football', 'confidence_score': 0.7677597999572754}, {'tag': 'news/international news', 'confidence_score': 0.7641364336013794}, {'tag': 'travel/business travel', 'confidence_score': 0.7605164051055908}], 'code': 200}"
#NITRaipurES18,"{'taxonomy': [{'tag': 'careers/resume writing and advice', 'confidence_score': 0.8588169813156128}, {'tag': 'travel/travel guides', 'confidence_score': 0.870451}, {'tag': 'style and fashion/beauty', 'confidence_score': 0.8271174430847168}], 'code': 200}"
Happy Birthday,"{'taxonomy': [{'tag': 'style and fashion/beauty', 'confidence_score': 0.950501}, {'tag': 'sports/wrestling', 'confidence_score': 0.8945543169975281}, {'tag': 'health and fitness/exercise', 'confidence_score': 0.8821774125099182}], 'code': 200}"
"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
""Stand out of the crowd""

Fortify your troops as you set out to escalate E-Summit'18 to new heights of the apogee..

Join E-Summit18 as a CAMPUS AMBASSADOR!

Fill out the forms at : http://bit.ly/ESUMMIT18CA

You can also grab this golden opportunity by filling out the forms through INTERNSHALA.

Tag your friends from other colleges all around India.

Last date for form submission: 01 July, 2018

#NITRaipurES18
#ca #campusambassador
#ecell #nitrr","{'taxonomy': [{'tag': 'art and entertainment/comics and animation', 'confidence_score': 0.95312}, {'tag': 'society/dating', 'confidence_score': 0.835912}, {'tag': 'family and parenting/parenting teens', 'confidence_score': 0.8147150278091431}], 'code': 200}"
"#NITRaipurES18

E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'taxonomy': [{'tag': 'careers/resume writing and advice', 'confidence_score': 0.8588169813156128}, {'tag': 'travel/travel guides', 'confidence_score': 0.870451}, {'tag': 'style and fashion/beauty', 'confidence_score': 0.8271174430847168}], 'code': 200}"
Happy birthday!!!,"{'taxonomy': [{'tag': 'sports/skiing', 'confidence_score': 0.9141544103622437}, {'tag': 'society/dating', 'confidence_score': 0.7891964912414551}, {'tag': 'health and fitness/sports medicine', 'confidence_score': 0.7841781377792358}], 'code': 200}"
Happy birthday..,"{'taxonomy': [{'tag': 'sports/wrestling', 'confidence_score': 0.9648609757423401}, {'tag': 'travel/business travel', 'confidence_score': 0.927553}, {'tag': 'art and entertainment/music', 'confidence_score': 0.796939}], 'code': 200}"
"Knock knock..
Great knock, who's there?
.
.
Shane watson
#iplfinal #csk","{'code': 200, 'taxonomy': [{'confidence_score': 0.7417306303977966, 'tag': 'news/international news'}, {'confidence_score': 0.574119, 'tag': 'health and fitness/therapy'}, {'confidence_score': 0.864223, 'tag': 'sports/boxing'}]}"
Happy Birthday..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9648609757423401, 'tag': 'sports/wrestling'}, {'confidence_score': 0.927553, 'tag': 'travel/business travel'}, {'confidence_score': 0.796939, 'tag': 'art and entertainment/music'}]}"
Happy birthday..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9648609757423401, 'tag': 'sports/wrestling'}, {'confidence_score': 0.927553, 'tag': 'travel/business travel'}, {'confidence_score': 0.796939, 'tag': 'art and entertainment/music'}]}"
"#NITRaipurES18

E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'taxonomy': [{'confidence_score': 0.8588169813156128, 'tag': 'careers/resume writing and advice'}, {'confidence_score': 0.870451, 'tag': 'travel/travel guides'}, {'confidence_score': 0.8271174430847168, 'tag': 'style and fashion/beauty'}]}"
"#NITRaipurES18

Follow:
E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'code': 200, 'taxonomy': [{'confidence_score': 0.7677597999572754, 'tag': 'sports/football'}, {'confidence_score': 0.7641364336013794, 'tag': 'news/international news'}, {'confidence_score': 0.7605164051055908, 'tag': 'travel/business travel'}]}"
"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
""Stand out of the crowd""

Fortify your troops as you set out to escalate E-Summit'18 to new heights of the apogee..

Join E-Summit18 as a CAMPUS AMBASSADOR!

Fill out the forms at : http://bit.ly/ESUMMIT18CA

You can also grab this golden opportunity by filling out the forms through INTERNSHALA.

Tag your friends from other colleges all around India.

Last date for form submission: 01 July, 2018

#NITRaipurES18
#ca #campusambassador
#ecell #nitrr","{'code': 200, 'taxonomy': [{'confidence_score': 0.95312, 'tag': 'art and entertainment/comics and animation'}, {'confidence_score': 0.835912, 'tag': 'society/dating'}, {'confidence_score': 0.8147150278091431, 'tag': 'family and parenting/parenting teens'}]}"
"How engineering students decide to take bath??

'Na-ha-naah'","{'code': 200, 'taxonomy': [{'confidence_score': 0.975821, 'tag': 'education/graduate school'}, {'confidence_score': 0.919736, 'tag': 'society/social institution'}, {'confidence_score': 0.866442, 'tag': 'careers/resume writing and advice'}]}"
